Year,Total_Wins,Leg_Lock_Count,Leg_Lock_Percent,Injury_Count,Injury_Percent,Heel_Hook_Count,Heel_Hook_Percent
1932,1,0,0.0,0,0.0,0,0.0
1934,1,0,0.0,0,0.0,0,0.0
1935,1,0,0.0,0,0.0,0,0.0
1936,1,0,0.0,0,0.0,0,0.0
1937,1,0,0.0,0,0.0,0,0.0
1950,2,0,0.0,0,0.0,0,0.0
1951,1,0,0.0,0,0.0,0,0.0
1973,1,0,0.0,0,0.0,0,0.0
1975,1,0,0.0,0,0.0,0,0.0
1976,1,0,0.0,0,0.0,0,0.0
1977,1,0,0.0,0,0.0,0,0.0
1981,2,0,0.0,0,0.0,0,0.0
1983,1,0,0.0,0,0.0,0,0.0
1984,8,0,0.0,0,0.0,0,0.0
1985,5,0,0.0,0,0.0,0,0.0
1986,5,0,0.0,0,0.0,0,0.0
1987,2,0,0.0,0,0.0,0,0.0
1988,1,0,0.0,0,0.0,0,0.0
1991,2,0,0.0,0,0.0,0,0.0
1993,2,0,0.0,0,0.0,0,0.0
1994,6,0,0.0,0,0.0,0,0.0
1995,2,0,0.0,0,0.0,0,0.0
1996,23,0,0.0,0,0.0,0,0.0
1997,30,0,0.0,0,0.0,0,0.0
1998,57,2,3.5087719298245612,0,0.0,0,0.0
1999,65,2,3.0769230769230771,0,0.0,0,0.0
2000,89,3,3.3707865168539324,2,2.2471910112359552,0,0.0
2001,101,7,6.9306930693069315,0,0.0,0,0.0
2002,79,3,3.79746835443038,1,1.2658227848101267,1,1.2658227848101267
2003,166,5,3.0120481927710845,2,1.2048192771084338,1,0.60240963855421692
2004,130,4,3.0769230769230771,0,0.0,0,0.0
2005,169,5,2.9585798816568047,1,0.591715976331361,0,0.0
2006,145,3,2.0689655172413794,0,0.0,0,0.0
2007,225,12,5.3333333333333339,1,0.44444444444444442,4,1.7777777777777777
2008,186,6,3.225806451612903,1,0.53763440860215062,1,0.53763440860215062
2009,305,17,5.5737704918032787,1,0.32786885245901637,4,1.3114754098360655
2010,307,15,4.88599348534202,1,0.32573289902280134,2,0.65146579804560267
2011,513,40,7.7972709551656916,0,0.0,14,2.7290448343079921
2012,570,29,5.0877192982456139,0,0.0,2,0.35087719298245612
2013,720,32,4.4444444444444446,0,0.0,7,0.97222222222222221
2014,963,49,5.0882658359293877,1,0.10384215991692627,11,1.142263759086189
2015,1872,154,8.2264957264957257,13,0.69444444444444442,33,1.7628205128205128
2016,2003,172,8.5871193210184735,9,0.44932601098352476,41,2.0469296055916129
2017,2762,174,6.2997827661115124,9,0.32585083272990589,59,2.1361332367849384
2018,3269,208,6.3628020801468343,10,0.30590394616090549,46,1.4071581523401651
2019,3576,232,6.4876957494407153,10,0.2796420581655481,66,1.8456375838926176
2020,1682,116,6.8965517241379306,8,0.47562425683709864,45,2.67538644470868
2021,3473,315,9.0699683270947311,15,0.4319032536711776,168,4.83731644111719
2022,4101,326,7.949280663252865,12,0.29261155815654721,162,3.9502560351133873
